poemId,allTopics,allProbabilities,topics,topicWords,topicProbabilities
70,"0,1,2,3","0.9504,0.0162,0.0163,0.0170","0,3,2,1","""土花, 嫩綠, 家, 寂寂, 石, 童, 簾, 階, 風""，""人, 翠, 苔, 雨""，""分付""，""冷艷""","0.95,0.02,0.02,0.02"
71,"0,1,2,3","0.0226,0.0220,0.5008,0.4546","2,3,0,1","""春雨, 瀟瀟""，""晴, 綽約, 芳叢, 輕盈""，""寒, 新詩, 曲, 簾""，""嬌紅""","0.02,0.02,0.50,0.45"
72,"0,1,2,3","0.1751,0.0117,0.0120,0.8012","3,2,0","""剩, 影, 斜陽, 暮, 書樓, 枝頭, 水流, 蝶, 飛花, 香, 魂, 鶯""，""春色, 狼藉, 緐華""，""愁, 歸, 芳草, 難, 風, 飄零""","0.18,0.01,0.80"
73,"0,1,2,3","0.9320,0.0230,0.0223,0.0227","0,2,3,1","""白雲, 芳徑, 蒼茫""，""詩思""，""君子, 松, 林, 樹, 竹""，""俗塵, 大夫""","0.93,0.02,0.02,0.02"
74,"0,1,2,3","0.0168,0.0166,0.0163,0.9503","1,3,2,0","""光, 沙鷗""，""新, 松, 林, 水, 石徑, 雨, 雲""，""滿目, 竹影""，""安排, 山川, 花, 風""","0.02,0.02,0.02,0.95"
75,"0,1,2,3","0.9216,0.0259,0.0261,0.0264","0,3,2","""瀟灑, 燒, 琴, 石, 花, 風""，""陰""，""水禽, 池邊""","0.92,0.03,0.03"
76,"0,1,2,3","0.7716,0.0146,0.0151,0.1988","0,3,1,2","""夜, 夢, 煙霞, 翠色, 鴻""，""人間, 天, 嬋娟, 松濤, 無際, 猿, 鶴""，""萬壑""，""影疑, 搖動, 蕭颯""","0.77,0.01,0.02,0.20"
77,"0,1,2,3","0.0202,0.0199,0.0213,0.9385","1,2,3,0","""點綴""，""春工, 東風, 淺淡""，""柳絮, 桃花, 笑, 紛紜, 綽約, 芳姿, 輕盈""，""淚""","0.02,0.02,0.02,0.94"
78,"0,1,2,3","0.2877,0.0175,0.6766,0.0182","2,3,0","""含煙, 妝, 淑氣, 牕前, 艷陽, 融和, 黃鸝""，""天, 桃花, 雨""，""歌聲, 芳草, 閨, 階""","0.29,0.68,0.02"
79,"0,1,2,3","0.9581,0.0136,0.0142,0.0141","0,2,3","""千般, 寂寂, 彩雲, 新詩, 書, 簾, 芳草, 落花, 金, 風""，""曲徑, 當天, 簌簌""，""垂柳, 樹, 池, 香, 鶯""","0.96,0.01,0.01"
80,"0,1,2,3","0.4173,0.0166,0.0164,0.5497","1,2,3,0","""團圓, 明月, 餘光""，""皎潔""，""天, 山, 楊柳, 玉, 玲瓏, 萬象""，""梢頭, 歸, 深夜, 無窮, 金""","0.42,0.02,0.02,0.55"
81,"0,1,2,3","0.9343,0.0217,0.0215,0.0225","0,3,1","""瀟灑, 籬, 金, 風, 黃花""，""層層, 新, 爛漫, 玉, 香""，""紫蒂""","0.93,0.02,0.02"
